51.19	47.79	54.26	0.00065	0.00080	0.00050	98883	98663	99123
50.23	46.83	53.29	0.00069	0.00086	0.00052	98819	98585	99074
49.26	45.87	52.32	0.00073	0.00091	0.00053	98750	98500	99022
48.30	44.91	51.35	0.00076	0.00096	0.00054	98678	98410	98969
47.33	43.95	50.37	0.00079	0.00102	0.00055	98604	98316	98916
46.37	43.00	49.40	0.00084	0.00110	0.00057	98526	98215	98861
45.41	42.04	48.43	0.00090	0.00119	0.00059	98443	98107	98806
44.45	41.09	47.46	0.00096	0.00129	0.00063	98355	97990	98747
43.49	40.15	46.49	0.00104	0.00139	0.00067	98260	97864	98685
42.54	39.20	45.52	0.00112	0.00150	0.00073	98158	97727	98619
41.58	38.26	44.55	0.00123	0.00164	0.00081	98048	97581	98546
40.64	37.32	43.59	0.00136	0.00183	0.00089	97927	97421	98467
39.69	36.39	42.62	0.00152	0.00207	0.00096	97793	97243	98379
38.75	35.46	41.66	0.00170	0.00234	0.00103	97644	97042	98285
37.81	34.55	40.71	0.00187	0.00261	0.00109	97478	96815	98184
36.88	33.63	39.75	0.00203	0.00286	0.00116	97296	96562	98076
35.96	32.73	38.80	0.00218	0.00311	0.00122	97099	96286	97963
35.04	31.83	37.84	0.00236	0.00340	0.00128	96887	95986	97843
34.12	30.94	36.89	0.00257	0.00374	0.00135	96658	95660	97717
33.20	30.05	35.94	0.00280	0.00411	0.00145	96409	95303	97585
32.30	29.17	34.99	0.00303	0.00448	0.00157	96139	94911	97444
31.39	28.30	34.05	0.00327	0.00485	0.00169	95847	94486	97291
30.49	27.44	33.10	0.00351	0.00521	0.00181	95534	94028	97127
29.60	26.58	32.16	0.00377	0.00561	0.00191	95199	93538	96951
28.71	25.73	31.22	0.00402	0.00603	0.00199	94840	93013	96766
27.82	24.88	30.28	0.00427	0.00646	0.00211	94458	92452	96573
26.94	24.04	29.35	0.00454	0.00690	0.00227	94054	91855	96369
26.06	23.20	28.41	0.00487	0.00740	0.00246	93627	91221	96151
25.19	22.37	27.48	0.00528	0.00798	0.00268	93171	90546	95914
24.32	21.55	26.55	0.00575	0.00866	0.00291	92679	89823	95657
23.46	20.73	25.63	0.00626	0.00938	0.00318	92146	89046	95379
22.60	19.92	24.71	0.00684	0.01018	0.00351	91570	88211	95075
21.75	19.12	23.80	0.00741	0.01099	0.00386	90944	87312	94742
20.91	18.33	22.89	0.00800	0.01184	0.00425	90270	86353	94376
20.08	17.54	21.98	0.00859	0.01275	0.00469	89548	85330	93974
19.25	16.76	21.08	0.00926	0.01380	0.00521	88779	84243	93534
18.42	15.99	20.19	0.01026	0.01527	0.00592	87957	83080	93046
17.61	15.23	19.31	0.01161	0.01726	0.00682	87055	81811	92496
16.81	14.49	18.44	0.01329	0.01966	0.00793	86044	80399	91865
16.03	13.77	17.58	0.01508	0.02222	0.00915	84900	78818	91136
15.27	13.07	16.74	0.01687	0.02477	0.01047	83620	77067	90302
14.52	12.39	15.91	0.01877	0.02754	0.01193	82209	75158	89357
13.79	11.73	15.10	0.02097	0.03068	0.01361	80666	73088	88291
13.07	11.08	14.30	0.02367	0.03451	0.01559	78975	70846	87089
12.38	10.46	13.52	0.02675	0.03885	0.01791	77106	68401	85731
11.70	9.86	12.75	0.03004	0.04339	0.02063	75043	65744	84195
11.05	9.29	12.01	0.03368	0.04822	0.02394	72789	62891	82458
10.42	8.73	11.29	0.03775	0.05358	0.02775	70338	59858	80484
9.81	8.20	10.60	0.04242	0.05977	0.03219	67683	56650	78251
9.22	7.69	9.94	0.04782	0.06709	0.03727	64812	53265	75732
8.66	7.20	9.30	0.05386	0.07504	0.04294	61712	49691	72910
8.12	6.75	8.70	0.06027	0.08347	0.04917	58388	45962	69779
7.61	6.32	8.12	0.06736	0.09255	0.05624	54869	42125	66348
7.12	5.91	7.58	0.07561	0.10316	0.06436	51173	38227	62617
6.66	5.53	7.06	0.08444	0.11400	0.07319	47304	34284	58587
6.23	5.18	6.58	0.09399	0.12552	0.08284	43310	30375	54299
5.83	4.85	6.13	0.10428	0.13771	0.09333	39239	26563	49801
5.45	4.55	5.71	0.11531	0.15055	0.10467	35147	22905	45153
5.09	4.27	5.32	0.12709	0.16399	0.11686	31094	19456	40426
4.76	4.00	4.96	0.13962	0.17799	0.12985	27142	16266	35702
4.45	3.76	4.62	0.15287	0.19248	0.14364	23353	13371	31066
4.17	3.54	4.31	0.16683	0.20741	0.15816	19783	10797	26604
3.90	3.34	4.03	0.18146	0.22270	0.17334	16483	8558	22396
3.65	3.15	3.77	0.19673	0.23825	0.18912	13492	6652	18514
3.43	2.98	3.53	0.21258	0.25397	0.20538	10837	5067	15013
3.22	2.82	3.32	0.22894	0.26975	0.22201	8534	3780	11930
3.02	2.68	3.12	0.24576	0.28548	0.23890	6580	2760	9281
2.85	2.55	2.94	0.26295	0.30105	0.25588	4963	1972	7064
2.68	2.44	2.78	0.28041	0.31633	0.27282	3658	1379	5256
2.53	2.33	2.64	1.00000	1.00000	1.00000	2632	943	3822
